Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
10,1005666667,0,0,36,2111341667,4347826,14492754,1143941195,0,Feb,2,6,1,2,Returning_Visitor,FALSE,TRUE
0,0,0,0,2,76,0,5,0,6,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,1,Feb,1,1,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,2,2,0,4,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,208,0,28571429,0,0,Feb,4,1,1,5,Returning_Visitor,TRUE,FALSE
0,0,0,0,4,270,0,16666667,0,8,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,395,0,2,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,375,16666667,58333333,0,0,Feb,3,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,8,Feb,2,2,2,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,150,57142857,85714286,0,0,Feb,2,2,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,138,0,66666667,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,3375,28571429,23809524,0,4,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,19,6200333333,0,7894737,0,0,Feb,1,1,4,2,Returning_Visitor,FALSE,FALSE
2,36,0,0,15,1688461538,0,11764706,0,4,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,2,52,0,1,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,13,64925,0,15384615,0,0,Feb,2,2,1,5,New_Visitor,FALSE,FALSE
0,0,0,0,27,9253333333,3703704,25925926,0,6,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,33,0,1,0,2,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,15665,5,66666667,0,2,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,105,0,25,0,6,Feb,1,1,1,4,Returning_Visitor,FALSE,FALSE
0,0,1,0,7,50,38095238,80952381,0,6,Feb,2,4,1,7,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,6442,4166667,31666667,0,0,Feb,3,2,3,4,Returning_Visitor,FALSE,FALSE
3,1833333333,0,0,38,2635177778,0,8947368,0,4,Feb,2,4,1,2,Returning_Visitor,FALSE,FALSE
4,61,0,0,19,607,0,26984127,1753595893,1,Feb,1,1,7,4,Returning_Visitor,TRUE,TRUE
0,0,0,0,6,415,0,33333333,0,4,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
2,31,1,16,36,2083530952,0,1351025,0,8,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE
3,585,0,0,17,2816666667,7058824,17647059,0,0,Feb,1,1,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,27,15,15,0,0,Feb,1,1,7,2,Returning_Visitor,FALSE,FALSE
0,0,1,0,9,215,44444444,74074074,0,8,Feb,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,162,5,66666667,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,114,5,66666667,0,8,Feb,3,3,1,3,Returning_Visitor,FALSE,FALSE
6,32625,4,94,128,5062213753,854701,1791847,0,0,Feb,2,5,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,253,0,16666667,0,6,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,0,2,2,0,4,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,8,Feb,1,1,2,3,Returning_Visitor,FALSE,FALSE
2,22,0,0,25,4365,8,24,0,2,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,1,93,30,1045833333,12903226,35483871,0,2,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,3178333333,0,5555556,0,0,Feb,1,1,1,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,21,1146333333,0,12962963,0,8,Feb,3,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,577,18181818,27272727,0,2,Feb,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,95,0,75,0,0,Feb,4,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,3015,0,111111111,0,0,Feb,2,4,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,243,0,33333333,0,0,Feb,2,4,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,1355,0,5,0,6,Feb,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,2,75,14,4423333333,0,34375,0,8,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,41,0,66666667,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,2929,28,11952381,0,0,Feb,2,4,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,1238333333,0,40740741,0,4,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,10,2254666667,0,5,0,4,Feb,1,1,8,3,Returning_Visitor,FALSE,FALSE
4,462,0,0,51,1873216667,0,754717,0,6,Feb,2,2,9,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,13,133333333,166666667,0,0,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,222,0,1,0,0,Feb,2,6,1,2,Returning_Visitor,TRUE,FALSE
2,20,0,0,16,2148333333,0,22222222,0,0,Feb,2,2,1,6,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,2017166667,0,11111111,0,8,Feb,2,2,4,3,Returning_Visitor,FALSE,FALSE
6,1115,0,0,26,4490277778,0,18518519,0,6,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,1581666667,0,33333333,0,0,Feb,3,2,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,3036666667,5555556,46296296,0,0,Feb,2,4,5,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,25,0,66666667,0,0,Feb,2,4,1,5,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,42,5,15,0,4,Feb,2,2,1,4,Returning_Visitor,FALSE,FALSE
4,103625,0,0,14,1003416667,0,18039216,0,2,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,2,2,7,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,2725,0,11851852,0,2,Feb,1,1,6,3,Returning_Visitor,FALSE,FALSE
3,19,0,0,8,344,0,7407407,0,0,Feb,2,4,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,2,2,2,3,Returning_Visitor,FALSE,FALSE
0,0,1,19,10,852,0,9090909,0,0,Feb,2,2,3,6,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,780,66666667,66666667,0,4,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,1038,0,33333333,0,0,Feb,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,573,0,5,0,0,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,28,1231233333,7142857,30357143,0,0,Feb,1,1,4,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,3166666667,0,27272727,0,8,Feb,2,2,2,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,8737365079,75,28166667,0,0,Feb,1,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,4,Feb,2,2,3,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,16,1,15,0,0,Feb,2,5,5,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,19,615,0,26315789,0,2,Feb,2,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,26175,0,26666667,0,0,Feb,2,6,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,21,6158831169,33333333,4993081,0,0,Feb,3,2,2,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,3,3,3,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,6,1175,0,33333333,0,8,Feb,1,1,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,23,5016666667,8695652,1884058,0,6,Feb,1,1,4,2,Returning_Visitor,FALSE,FALSE
2,58,2,22,31,8291666667,3030303,40606061,0,0,Feb,1,1,1,1,Returning_Visitor,TRUE,FALSE
1,95,0,0,23,1223,15217391,12463768,0,0,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,6,467,0,16666667,0,4,Feb,1,1,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,23,7371666667,8695652,11594203,0,6,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,129,0,33333333,0,0,Feb,1,1,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,63,0,4,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,5,125,86666667,166666667,0,0,Feb,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,11,6843333333,18181818,63636364,0,0,Feb,2,4,6,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,6654722222,0,145,0,8,Feb,3,2,7,4,Returning_Visitor,TRUE,FALSE
1,0,0,0,15,4875,0,19166667,0,8,Feb,1,1,2,4,Returning_Visitor,TRUE,FALSE
0,0,0,0,17,4371666667,11111111,33333333,0,0,Feb,2,4,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,55,66666667,1,0,6,Feb,1,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,8,Feb,1,1,1,2,Returning_Visitor,TRUE,FALSE
5,413,0,0,24,4469277778,0,8602151,0,1,Feb,2,2,8,1,Returning_Visitor,TRUE,FALSE
3,87,0,0,10,3205,0,15384615,0,0,Feb,1,1,2,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,7,666,0,14285714,0,0,Feb,1,1,6,2,Returning_Visitor,FALSE,FALSE
1,0,0,0,21,4057095238,10743802,47002635,0,0,Feb,1,1,1,4,Returning_Visitor,FALSE,FALSE
0,0,0,0,1,0,2,2,0,0,Feb,3,2,3,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,6,16325,33333333,33333333,0,6,Feb,1,1,6,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,28425,0,11764706,0,0,Feb,3,2,6,2,Returning_Visitor,TRUE,FALSE
0,-1,0,-1,1,-1,2,2,0,6,Feb,4,2,1,3,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Feb,2,4,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,8,260,8333333,25,0,8,Feb,3,2,1,3,Returning_Visitor,TRUE,FALSE
0,0,16,1210397619,5,2798571429,3174603,12764202,0,0,Mar,2,2,1,8,Returning_Visitor,FALSE,FALSE
0,0,0,0,20,92745,11111111,27248677,8000740741,0,Mar,1,1,3,1,Returning_Visitor,FALSE,FALSE
2,9,0,0,50,8368,0,6339869,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
10,2937782051,2,153,96,3283166739,1960784,13509414,0,0,Mar,3,2,6,2,Returning_Visitor,TRUE,FALSE
9,1115,1,485,49,1868819697,0,20708874,1706014966,0,Mar,2,2,7,2,Returning_Visitor,FALSE,TRUE
3,47,1,51,68,3008124108,7142857,16727891,4653017511,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,0,2,2,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE
3,1226,5,3,24,323025,36190476,96,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
3,52,0,0,9,319,0,2,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,42,0,66666667,0,0,Mar,2,2,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,22,3543333333,9090909,57662338,0,0,Mar,1,1,7,2,Returning_Visitor,TRUE,FALSE
0,0,0,0,98,355661241,2061856,10173465,0,0,Mar,1,1,1,3,Returning_Visitor,FALSE,FALSE
2,56,1,144,67,2563783333,0,5797101,1934265017,0,Mar,2,2,4,2,New_Visitor,FALSE,TRUE
3,1129607843,0,0,13,3014018519,13068182,6140625,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,17,8402333333,0,1666667,109176,0,Mar,2,2,9,2,New_Visitor,FALSE,TRUE
3,94,2,125,55,1970844805,0,1724138,9625511582,0,Mar,2,4,1,2,New_Visitor,TRUE,TRUE
1,32,0,0,50,2867,0,4,1534432478,0,Mar,2,2,7,8,Returning_Visitor,TRUE,TRUE
0,0,0,0,5,43,0,4,0,0,Mar,1,1,1,9,Returning_Visitor,TRUE,FALSE
5,218,0,0,13,2845,0,4166667,0,0,Mar,1,1,1,2,New_Visitor,FALSE,FALSE
0,0,0,0,3,1335,0,88888889,0,0,Mar,1,2,1,8,Returning_Visitor,FALSE,FALSE
1,119,0,0,12,2976666667,0,8333333,0,0,Mar,3,2,1,10,Returning_Visitor,FALSE,FALSE
3,281,0,0,16,45375,0,5263158,0,0,Mar,2,2,5,2,New_Visitor,FALSE,FALSE
1,18,0,0,16,133175,0,125,3379956701,0,Mar,2,5,2,3,New_Visitor,FALSE,TRUE
2,40,0,0,5,5585,0,28571429,0,0,Mar,2,2,7,2,New_Visitor,TRUE,FALSE
3,107,0,0,4,1458333333,0,16666667,0,0,Mar,3,2,7,1,New_Visitor,FALSE,FALSE
0,0,0,0,8,731,0,4375,0,0,Mar,2,4,1,3,Returning_Visitor,FALSE,FALSE
2,49,1,127,4,188,33333333,375,0,0,Mar,3,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,5653333333,37619048,4952381,0,0,Mar,2,6,3,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,50,0,5,0,0,Mar,3,2,8,11,Returning_Visitor,FALSE,FALSE
4,57,0,0,7,591,6666667,33333333,0,0,Mar,1,2,6,6,Returning_Visitor,TRUE,FALSE
2,2,3,261,10,281,0,42857143,0,0,Mar,2,2,1,2,Returning_Visitor,FALSE,FALSE
2,123,2,3063333333,18,4838333333,0,2,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
2,118,0,0,4,42,0,66666667,0,0,Mar,1,2,7,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,35,1192386111,5714286,28571429,0,0,Mar,2,4,2,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,12,198,16666667,75,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,3,15,0,66666667,0,0,Mar,2,4,3,12,Returning_Visitor,FALSE,FALSE
2,38,0,0,14,643,0,13333333,350928,0,Mar,2,2,5,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,5,23,8,12,0,0,Mar,2,2,1,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,4,14,1,15,0,0,Mar,3,2,1,1,Returning_Visitor,FALSE,FALSE
1,54,0,0,6,2105,0,2,0,0,Mar,2,2,1,8,New_Visitor,FALSE,FALSE
1,993,0,0,28,152930467,1481481,9150327,0,0,Mar,3,2,4,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,2,19,0,1,0,0,Mar,2,2,3,11,Returning_Visitor,TRUE,FALSE
5,7425,2,84,37,1599083333,0,6578947,0,0,Mar,2,2,4,1,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,1025,0,22222222,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,16,2337,0,13333333,1776266667,0,Mar,2,2,1,1,Returning_Visitor,FALSE,TRUE
0,0,0,0,19,18835,10526316,21052632,0,0,Mar,2,2,1,3,Returning_Visitor,FALSE,FALSE
2,32,0,0,50,12453,4,20666667,7146260888,0,Mar,2,2,7,9,Returning_Visitor,TRUE,FALSE
6,6668333333,0,0,22,1674583333,0,14666667,0,0,Mar,2,2,3,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,9,132,11111111,33333333,0,0,Mar,4,1,1,3,Returning_Visitor,TRUE,FALSE
1,73,1,740,50,1434255128,0,19230769,2203276923,0,Mar,2,2,3,2,Returning_Visitor,TRUE,FALSE
2,154,0,0,18,36725,5263158,44210526,0,0,Mar,3,2,2,1,Returning_Visitor,TRUE,FALSE
3,4933333333,5,30325,7,1485,0,14081633,0,0,Mar,3,2,2,2,Returning_Visitor,FALSE,FALSE
3,1185,0,0,29,1482210784,6896552,10600255,0,0,Mar,3,2,1,8,Returning_Visitor,TRUE,FALSE
6,1535,0,0,34,1048492063,11578947,32225685,0,0,Mar,2,6,1,1,Returning_Visitor,TRUE,FALSE
0,0,0,0,9,478,0,11111111,0,0,Mar,3,2,2,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,16,98025,0,4,0,0,Mar,2,2,4,3,Returning_Visitor,FALSE,FALSE
8,7225,1,215,51,1124693074,22807018,36550087,0,0,Mar,2,2,2,2,Returning_Visitor,FALSE,FALSE
2,245,0,0,22,3531666667,18181818,31818182,0,0,Mar,2,5,1,3,Returning_Visitor,FALSE,FALSE
1,0,0,0,18,1489083333,23529412,46470588,0,0,Mar,2,2,8,1,Returning_Visitor,FALSE,FALSE
0,0,1,1220,28,2389333333,16666667,30833333,0,0,Mar,2,2,1,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,7,753,0,952381,0,0,Mar,2,10,1,2,Returning_Visitor,FALSE,FALSE
0,0,0,0,31,6881666667,0,19354839,0,0,Mar,4,1,1,3,Returning_Visitor,FALSE,FALSE
0,0,0,0,14,811,15384615,41025641,0,0,Mar,2,2,8,1,Returning_Visitor,FALSE,FALSE
1,22,0,0,9,41525,33333333,48148148,0,0,Mar,3,3,1,1,Returning_Visitor,FALSE,FALSE
16,1556313131,0,0,32,908013456,5,1805276,4368515556,0,Mar,2,2,3,2,Returning_Visitor,FALSE,TRUE
1,2133333333,1,235,71,2753378571,12676056,15201207,0,0,Mar,3,2,2,1,Returning_Visitor,TRUE,FALSE
2,191,1,100,46,2452582143,7246377,22253906,0,0,Mar,3,2,9,3,Returning_Visitor,TRUE,FALSE
0,0,0,0,18,51885,0,5,0,0,Mar,2,5,1,1,Returning_Visitor,FALSE,FALSE
0,-1,0,-1,1,-1,2,2,0,0,Mar,1,1,1,1,Returning_Visitor,FALSE,FALSE
